Case_Study,Solver,Method,Num_Rep_Periods,Seed,Time_To_Build_Model,Objective_Function_Value,Num_Variables,Num_Constraints,Num_Constraints_Excluding_Bounds,Solve_Time
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,34244,7.4389053,610000000,280332,613214,385440,17.54200006
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,45224,7.7425226,610000000,280332,613214,385440,21.95600009
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,31659,7.8121288,610000000,280332,613214,385440,15.83799982
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,37548,14.829159,1050000000,560652,1226414,770880,102.5706434
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,25980,15.5952977,1050000000,560652,1226414,770880,73.30781481
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,57408,16.516174,1050000000,560652,1226414,770880,159.1421911
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,41831,16.3155873,1050000000,560652,1226414,770880,101.6686519
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,29040,15.3436853,1050000000,560652,1226414,770880,148.8397184
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,71372,16.6926707,1050000000,560652,1226414,770880,121.881293
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,52533,15.7773406,1050000000,560652,1226414,770880,128.868638
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,34244,16.0727135,1050000000,560652,1226414,770880,167.3546385
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,45224,16.7463727,1050000000,560652,1226414,770880,168.8101809
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,31659,16.6414186,1050000000,560652,1226414,770880,133.8394761
Asset-to-asset,Gurobi.Optimizer,Barrier,26280,37548,25.6481257,1480000000,840972,1839614,1156320,139.28
Asset-to-asset,Gurobi.Optimizer,Barrier,26280,25980,27.199999,1480000000,840972,1839614,1156320,121.6889999
Asset-to-asset,Gurobi.Optimizer,Barrier,26280,57408,27.6437976,1480000000,840972,1839614,1156320,189.984
Asset-to-asset,Gurobi.Optimizer,Barrier,26280,41831,28.6964363,1480000000,840972,1839614,1156320,134.099
Asset-to-asset,Gurobi.Optimizer,Barrier,26280,29040,27.7241255,1480000000,840972,1839614,1156320,169.1509998
Asset-to-asset,Gurobi.Optimizer,Barrier,26280,71372,28.6910161,1480000000,840972,1839614,1156320,125.4579999
Asset-to-asset,Gurobi.Optimizer,Barrier,26280,52533,27.1532457,1480000000,840972,1839614,1156320,156.2130001
Asset-to-asset,Gurobi.Optimizer,Barrier,26280,34244,28.5992165,1480000000,840972,1839614,1156320,156.1830001
